Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020
"San Benito, CA",US,36.5761,-120.9876,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,3,4,4,5,5,5,5,5,6,3,5,5,5,5,5,4,3,3,4
"Los Angeles, CA",US,34.0522,-118.2437,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,5,5,5,3,4,4,4,4,4,5,5,5,4,5,6,5,4,4,6,6,6,5,5,6,4,5,6,6,5,5,4,5,4,4
"King County, WA",US,47.6062,-122.3321,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2
"Cook County, IL",US,41.7377,-87.6976,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,4,3,3,4,4,3,3
"Skagit, WA",US,48.4242,-121.7114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"Thurston, WA",US,46.8646,-122.7696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,3,3
"Island, WA",US,48.1976,-122.5795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Whatcom, WA",US,48.8787,-121.9719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"Marin, CA",US,38.0834,-122.7633,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,3,3,4,4,5,5,5,4,4,5,3,5,5,5,3,3,4,3,3,3
"Calaveras, CA",US,38.196,-120.6805,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,3,2,3,3,3,3,2,3,3,3,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,5,5,5,4,4,5,3,5,5,5,5,5,3,3,3,4
"Stanislaus, CA",US,37.5091,-120.9876,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,5,5,5,5,4,5,3,5,5,5,5,5,4,3,3,4
"San Joaquin, CA",US,36.6066,-120.189,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,5,5,4,5,5,5,5,5,4,3,3,4
"Essex, MA",US,42.632,-70.7829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,4,4,3
"Charlton, GA",US,30.7917,-82.0843,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,5,5,3,5,4,4,4,3,5,5,4,5,4,5,5,6,5,5,5,6,5,6,5,4,5,5,4,5,6,6,6,4,5,7,7,6,6,7,7,6,5,7,7,5,7,5
"Collier, FL",US,26.07,-81.4279,5,6,5,5,5,6,5,5,5,5,4,5,5,4,5,6,6,5,6,5,4,5,5,6,5,6,6,5,5,6,6,6,5,7,7,7,6,7,6,5,7,6,6,6,7,7,7,6,7,8,7,8,5,8,8,8,8,7,7,8,8,8,7,7,9,9,8,9,7,8,8
"Pinellas, FL",US,27.8764,-82.7779,5,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,4,6,5,4,5,5,4,5,4,6,6,6,5,6,6,6,6,7,6,5,6,5,7,6,6,6,6,6,5,8,8,7,7,7,6,8,7,8,7,8,8,7,8,8,8,8,8
"Alachua, FL",US,29.7938,-82.4944,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,3,4,5,5,3,5,4,4,4,4,5,6,5,5,5,6,6,6,6,5,4,5,4,7,6,4,6,5,5,4,7,7,6,4,5,8,7,7,7,7,7,6,5,7,8,7,7,5
"Nassau, FL",US,30.5927,-81.8224,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,5,5,3,5,4,4,4,4,5,5,4,5,4,6,5,6,5,5,5,6,4,6,5,4,5,5,4,4,6,6,6,5,5,7,7,6,6,7,7,6,5,7,7,5,7,4
"Pasco, FL",US,28.3232,-82.4319,5,5,5,4,4,5,5,5,4,4,5,4,4,5,4,5,5,5,5,4,5,5,5,4,4,5,5,4,5,5,4,4,4,6,6,6,5,6,6,6,6,6,6,5,6,5,7,6,6,5,6,5,5,7,7,7,6,7,8,8,7,7,7,7,8,8,8,8,7,7,8
"Dallas, TX",US,32.7767,-96.797,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,2,4,4,4,4,3,3,3,4,5,3,3,4,3,4,5,5,5,4,4,4,5,6,6,4,6,5,5,6,5,5,4,4,4,4,7,6,5,4,4,7
"Tarrant, TX",US,32.7732,-97.3517,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,4,3,3,2,4,4,4,4,3,3,3,4,5,3,4,4,3,3,5,5,5,4,4,4,5,6,6,4,6,5,5,6,5,5,5,4,4,4,7,6,5,4,4,7
"Montgomery, TX",US,30.3883,-95.6963,4,3,3,4,4,4,4,4,4,3,3,3,4,3,3,3,4,3,3,5,5,5,3,3,5,3,4,4,3,3,3,4,5,5,4,4,4,4,5,4,4,4,4,4,5,6,5,4,4,4,4,4,7,6,4,5,7,5,7,7,6,4,5,6,5,7,7,4,7,5,6
"Middlesex, NJ",US,40.5726,-74.4927,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,4,4,3,3,3,3,2,3,4,3,4,4,3,3,5,5,4
"Jefferson, CO",US,39.58,-105.2663,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,3,3,2,3,2,2,3,3,3,2,2,2,2,2,4,3,3,3,2,2,4,3,4,4,3,3,4,5,4,4,3,2,4,4,5,4,4,5,5,5,5,5,5,6,4,4
"Multnomah, OR",US,45.5146,-122.5863,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,3,2,3,2,3,2,3,2,2,2,3,3
"Polk, OR",US,44.9267,-123.4919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,2,3,3,3,2,3,2,2,2,3,4
"Deschutes, OR",US,43.8325,-121.2617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,3,3,3,2,3,3,3,3,3,3,4,4,3,3,4,4,3,4,3,3,2,3,4
"McHenry, IL",US,42.3334,-88.2668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,4,4,3,3
"Lake, IL",US,42.3689,-87.8272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,4,3,3,3,3,2,4,4,3,4
"Bucks, PA",US,40.4108,-75.2479,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,2,4,4,3,4,4,3,4,5,5,4
"Hanover, VA",US,37.7772,-77.5161,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,3,3,4,3,3,4,3,4,4,3,4,4,3,3,3,4,4,3,3,3,4,3,3,5,4,3,5,5,3,4,5,6,4
"Lancaster, SC",US,34.7253,-80.6771,3,3,2,2,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,4,3,5,3,3,4,4,5,5,3,5,4,4,4,4,4,4,4,4,4,5,5,5,6,4,4,4,5,5,6,6,6,5
"Sullivan, TN",US,36.4933,-82.3452,2,2,2,2,2,2,3,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,3,3,3,3,2,3,4,3,3,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,5,3,4,5,4,3,5,6,5,3
"Johnson, IN",US,39.4638,-86.1345,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,4,3,3,3,4,3,3,2,3,2,4,4,2,4,4,4,2,5,5,3,3
"Howard, IN",US,40.4483,-86.1345,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,2,3,3,4,3,3,2,3,2,4,4,2,3,4,4,2,5,4,3,3
"St. Joseph, IN",US,41.6228,-86.3377,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,3,3,3,4,2,4,4,3,3
"Knox, NE",US,42.6712,-97.8722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,4,3,3,3,4,3,4,4,4,3,3
"Stark, OH",US,40.8685,-81.2519,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,3,4,4,3,3,2,2,2,2,4,3,3,3,4,2,4,5,4,3
"Anoka, MN",US,45.3293,-93.2197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,2,2,3,2,3,4,4,3,3
"Olmsted, MN",US,43.9952,-92.3814,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,2,3,3,2,4,4,4,3,3
"Summit, UT",US,40.8298,-110.9984,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,2,3,3,3,3,2,3,4,3,3,3,3,4,4,4,4,4,3,4,4,5,5,5,3,4,4,5,5,5,5,3,3,3
"Fairfield, CT",US,41.256,-73.3709,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,4,3,4,4,3,3,4,4,4
"Litchfield, CT",US,41.7866,-73.2765,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,4,3,3,4,3,3,4,4,4
"Orleans, LA",US,29.9511,-90.0715,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,5,5,5,5,3,5,5,3,3,4,4,4,4,4,5,6,4,4,4,5,4,5,4,4,4,4,6,6,4,4,5,5,4,7,7,7,4,6,5,7,7,7,6,6,5,5,4,8,8,5,8,5
"Pennington, SD",US,43.8901,-102.2548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,4,3,4,4,3,4,3
"Beadle, SD",US,44.4797,-98.2213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,3,2,4,4,4,3,3
"Charles Mix, SD",US,43.0985,-98.3965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,2,2,2,3,3,3,3,3,4,3,4,4,4,3,3
"Davison, SD",US,43.7242,-98.2213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,3,3,4,3,4,4,4,3,3
"Minnehaha, SD",US,43.6632,-96.8351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,3,3,4,2,4,4,4,3,2
"Bon Homme, SD",US,42.9815,-97.8722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,4,3,3,3,4,2,4,4,4,3,3
"Socorro, NM",US,33.8837,-106.7235,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,4,4,3,4,4,5,5,6,6,6,4,6,6,5,5,6,5,6,6,6,6,6,6,4,6,6,6,7,4,7,6
"Bernalillo, NM",US,35.0178,-106.6291,2,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,4,4,4,3,3,3,4,4,5,4,3,3,3,4,4,4,5,5,5,4,6,5,4,4,5,4,5,5,5,6,6,6,5,6,6,5,6,4,6,6
"Oakland, MI",US,42.5922,-83.3362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,2,3,2,4,2,4,4,3,3
"Wayne, MI",US,42.2791,-83.3362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,2,3,2,4,2,4,4,3,3
"New Castle, DE",US,39.5393,-75.6674,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,4,3,4,5,3,4,5,5,4
