Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020
"Honolulu County, HI",US,21.307,-157.8584,6,6,6,5,5,6,6,5,5,6,5,4,4,4,4,5,6,6,6,6,6,6,7,7,7,7,7,7,7,6,6,4,6,7,7,8,7,4,7,6,8,5,6,7,8,8,8,7,7,7,7,8,7,8,8,9,8,8,8,7,7,7,7,9,8,9,8,7,8,7,9
"Jackson County, OR ",US,42.3345,-122.7647,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,2,3,4
"Jefferson County, WA",US,47.7425,-123.304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,3,3
"Kershaw County, SC",US,34.3672,-80.5883,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,4,3,5,3,3,4,4,5,5,3,5,4,4,4,5,5,4,4,4,4,6,5,5,6,4,4,4,5,6,6,6,6,5
"Klamath County, OR",US,42.6953,-121.6142,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,2,3,4
"Madera County, CA",US,37.2519,-119.6963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,5,5,5,5,5,3,5,5,5,5,5,4,3,3,4
"Pierce County, WA",US,47.0676,-122.1295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2
"Tulsa County, OK",US,36.1593,-95.941,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,2,2,3,3,3,2,2,2,2,3,3,4,3,2,2,3,4,3,4,3,3,4,3,4,3,3,3,4,3,5,5,4,3,3,3,4,4,5,4,3,4,4,5,6,5,6,4,6
"Douglas County, CO",US,39.2587,-104.9389,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,3,3,2,3,2,3,3,3,3,2,2,2,2,2,4,3,3,3,3,2,4,3,4,4,3,3,4,5,4,3,3,2,4,4,5,4,4,5,5,5,5,6,6,6,5,4
"Providence County, RI",US,41.8882,-71.4774,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,3,4,3,3,4,3,3,4,4,4
