Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
Hawaii,US,21.0943,-157.4983,8,3,5,10,10,10,11,12,12,12,12,11,8,9,10,9,4,8,10,9,7,2,1,2,3,6,5,4,2,2,3,4,6,6,5,2,2,7,7,7,7,9,8,4,4,6,7,10,10,11,12,11,8,4,3,5,9,10,10,11,11,11,7,3,2,4,11,11,10,7,4,2,2,3,6,4,5,4,4
Oklahoma,US,35.5653,-96.9289,3,6,3,4,2,4,2,3,6,7,7,5,5,5,4,5,5,5,6,2,2,4,6,4,4,3,2,2,6,4,1,2,2,4,7,5,5,2,2,3,7,4,3,3,5,3,6,2,3,6,3,6,2,5,5,5,4,6,4,3,4,7,3,1,3,4,2,5,7,8,2,4,5,6,4,4,1,4,5
Utah,US,40.15,-111.8624,1,2,1,1,1,1,1,1,1,1,2,1,1,2,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4,2,1,2,2,3,3,2,1,1,1,2,1,1,2,1,2,1,1,1,2,3,2,1,1,1,2,3,2,1,1,1,2,3,2,2,1,1,2,2,4,4,2,2,2
,Burkina Faso,12.2383,-1.5616,4,5,5,4,3,3,2,2,3,2,4,4,5,4,3,3,4,4,3,2,2,3,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,6,6,5,4,4,4,3,4,3,4,4,4,6,5,5,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,4,4,3,3,2,3,3
,Holy See,41.9029,12.4534,1,1,1,1,2,3,1,1,1,1,2,2,1,1,1,1,1,2,2,3,2,1,1,2,2,1,1,3,2,2,2,1,1,1,4,7,5,1,1,2,3,2,1,2,4,2,1,1,1,1,2,1,2,1,2,3,4,3,4,4,5,6,4,3,2,5,2,3,2,2,2,1,1,1,2,2,2,1,2
,Mongolia,46.8625,103.8467,1,1,2,3,3,1,1,1,2,1,1,1,1,1,1,1,1,3,5,2,2,2,2,2,2,2,1,1,2,3,2,2,2,1,2,1,1,2,2,2,2,2,6,6,2,2,1,1,1,3,6,3,2,1,2,1,4,1,2,6,4,3,2,5,3,3,1,4,5,2,4,3,5,2,4,4,4,5,4
,Panama,8.538,-80.7821,2,3,2,2,2,4,3,4,4,4,5,3,4,4,4,5,4,4,4,3,3,3,2,2,2,4,3,1,1,1,2,3,3,4,5,4,3,3,2,4,5,5,4,4,4,5,5,5,6,6,6,5,4,4,5,3,2,1,3,5,5,5,4,3,4,4,4,4,5,5,5,4,4,3,4,4,5,4,4
Kansas,US,38.5266,-96.7265,4,6,3,4,4,5,3,3,6,6,7,5,4,4,3,5,4,7,7,3,2,4,6,5,5,1,1,3,3,1,3,3,3,3,5,6,4,2,3,3,6,2,2,3,4,4,4,2,3,4,3,4,4,5,3,6,4,5,4,4,5,4,3,3,2,6,3,8,10,7,2,2,5,4,5,3,2,3,2
Louisiana,US,31.1695,-91.8678,1,1,3,2,3,2,3,3,2,4,5,5,1,1,3,2,3,2,3,5,3,3,2,4,2,1,2,1,2,3,2,2,2,2,4,4,4,4,2,2,4,5,4,3,5,3,2,1,3,3,4,6,4,1,2,3,1,5,2,3,2,5,4,2,5,4,4,2,3,4,2,3,4,2,2,2,2,1,3
Missouri,US,38.4561,-92.2884,4,4,2,2,4,3,1,3,3,6,3,4,2,3,1,3,3,4,6,5,2,2,4,2,3,2,1,1,2,2,1,1,2,3,3,4,3,2,2,2,4,2,2,2,5,2,3,1,2,3,2,3,2,3,2,4,3,4,3,3,2,4,2,3,2,4,3,3,5,5,2,1,3,2,4,3,1,1,2
Vermont,US,44.0459,-72.7107,2,2,1,1,1,3,1,1,3,2,3,3,3,1,1,1,3,3,2,2,2,1,1,1,1,3,2,2,2,2,0,1,0,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,3,4,2,2,2,1,1,1,1,4,4,2,2,2,1,4,2,1,3,2,2,2,2,2,4,4,3,1,3,1
Alaska,US,61.3707,-152.4044,4,2,2,2,1,2,1,1,2,2,3,2,2,3,4,4,4,1,1,2,1,1,2,5,4,4,3,2,2,4,2,2,4,2,3,1,1,2,2,4,4,4,2,3,2,1,2,1,4,3,2,3,1,2,4,3,5,1,1,2,2,1,3,3,5,3,1,2,1,2,5,3,2,1,1,1,1,2,2
Arkansas,US,34.9697,-92.3731,3,2,2,2,3,2,2,2,2,4,5,4,1,1,1,1,5,4,4,3,2,2,2,2,4,1,2,1,2,3,1,1,2,2,4,3,3,3,1,1,4,3,3,2,4,2,2,1,3,3,4,4,1,1,2,4,3,4,2,3,2,4,3,1,1,2,3,2,3,5,2,1,3,4,3,4,1,2,2
Delaware,US,39.3185,-75.5071,2,3,2,2,2,5,3,2,5,2,2,5,5,1,1,2,6,5,3,5,4,3,1,0,3,5,3,3,3,3,2,1,1,3,1,2,3,2,7,3,2,4,2,2,4,4,2,2,1,2,3,2,3,3,1,2,1,2,7,4,5,3,4,3,4,2,3,5,2,3,5,2,2,4,3,2,3,2,3
Idaho,US,44.2405,-114.4788,1,2,3,2,2,1,2,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,3,3,3,1,1,2,1,1,4,2,2,1,0,0,1,1,1,2,3,1,2,1,1,2,1,2,3,3,1,1,2,1,1,1,2,2,1,2,1,1,1,1
Maine,US,44.6939,-69.3819,3,2,2,1,1,4,1,1,1,3,2,3,4,1,1,1,3,5,1,2,3,1,1,1,1,2,2,2,3,3,1,0,1,1,2,1,3,2,4,3,1,2,1,3,1,3,2,2,2,2,4,3,2,2,1,1,1,2,6,4,2,3,2,1,5,4,2,6,2,1,1,2,1,4,5,4,2,3,2
