Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20
,Somalia,5.152149,46.199616,19,19,18,17,19,20,21,17,16,18,19,21,20,18,13,7,9,16,16,16,17,18,20,21,20,20,18,17,16,14,14,15,16,15,15,15,13,13,14,14,17,18,17,16,18,19,18,16,18,19,18,18,18,16,17,20,16,16,13,13,14,15,16,14,15,18,18,18,19,17,15,17,18,19,20,21,19,19,21,21,20,20,21,22,22,22,22,20,21,22,22,21,20,17,18,19,18,18,19,19,20,21,20,22,21,22,23,22,23,22,22,22,23,23,22,22,22,22,23,23,23,22,22,22,23,22,22,23,23,21,20,21,21,22,21,20,19,19,19,21,19,20,20,19,20,21,20,21,20,19,20,20,21,20,20,19,20,21,21,20,18,17,17,19,18,18,19,19,19,19,17,16,18,19,21,19,19,20,20,20,20,18,17,18,17,17,20,17,18,19,19,19,20,20,19,19,19,18,18,18,18,18,19,18,17,17,18,19,20,20,20,20,19,18,19,19,20,18,16,16,15,16,17,18
,South Africa,-30.5595,22.9375,4,0,4,1,-3,1,12,15,8,7,6,7,10,10,6,6,8,12,10,4,0,4,4,5,5,2,-4,-8,-9,2,0,9,10,9,10,11,12,13,14,13,7,6,7,7,-3,4,15,14,15,16,16,14,5,6,3,7,13,15,10,11,14,13,11,9,9,9,7,7,10,12,13,12,11,5,3,9,13,13,8,-4,1,8,10,0,-2,3,-3,-3,-3,6,14,9,9,11,10,6,-2,-1,-5,-2,12,11,6,6,0,-7,-6,-2,9,8,3,0,5,12,10,9,8,6,5,3,0,0,-5,0,0,-2,-5,-5,-5,-3,-1,3,-3,-2,-10,-1,-9,-6,-4,-4,-2,0,0,-2,-2,-3,-4,-6,-1,1,-4,-7,-7,-6,-5,-3,-3,-5,-4,-1,0,0,-5,-13,-16,-17,-7,0,1,-3,-3,-4,-6,-8,-8,-5,0,-2,2,0,0,-5,-5,-16,-13,-8,-10,-5,-4,3,-3,-2,-6,-3,-4,-8,-13,-17,-18,-18,-19,-17,-15,-15,-16,-6,-3,0,-5,-5,-13,-20,-21,-15,-10,-7,-1,-2,-9,-5,-2,-2,-7,-3
,South Sudan,6.877000000000002,31.307,11,13,16,12,6,5,6,8,0,-4,-10,-12,-5,4,4,12,4,2,2,4,5,-2,-3,-1,0,0,0,3,5,7,6,6,2,4,5,3,2,5,8,7,3,-2,-2,3,9,15,16,13,8,8,3,1,6,7,4,-3,0,4,7,6,-3,0,1,1,8,11,8,11,18,18,19,20,20,20,14,15,18,16,18,19,18,17,17,9,7,5,10,18,19,19,19,19,19,19,20,21,19,18,19,19,20,20,20,14,17,18,18,20,20,19,20,20,19,19,19,19,20,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21,21,22,21,22,22,21,21,21,22,20,21,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,21,20,21,21,21,20,21,21,21,20,21,21,21,21,21,21,20,20,19,21,21,20,20,21,21,21,20,20,20,20,21,21,21,21,20,20,21,20,18,20,20,21,21,21,20,21,21,21,21,21,21,21,21,20,20,19,20,21,21,21,21,21,22
,Spain,40.463667,-3.74922,-3,-2,0,0,-3,-3,-6,-6,1,-1,-5,-7,-5,-2,2,4,3,4,-4,-11,0,2,2,4,5,2,2,8,7,7,8,10,8,6,5,-2,3,4,4,4,6,6,7,7,5,5,5,6,3,0,-1,-3,-3,-3,-1,0,0,0,0,5,6,3,3,7,5,-1,0,0,1,3,7,8,8,7,6,3,6,6,5,6,5,5,6,6,3,-6,-1,0,1,1,2,5,3,1,2,6,10,10,10,8,10,9,5,8,9,9,9,8,9,7,7,6,9,10,9,9,6,5,6,8,10,11,10,11,5,3,8,10,10,8,8,9,8,7,8,9,7,6,7,7,5,11,11,12,13,14,11,8,9,9,10,12,10,11,10,7,7,9,5,4,5,8,6,6,7,8,8,8,8,9,5,6,8,8,12,11,7,8,11,10,11,8,7,8,3,5,11,8,10,13,10,12,14,13,5,6,8,5,6,5,4,10,12,11,11,9,5,8,11,12,13,7,1,9,9,9,8,11,12,11,11,10,15,13
,Sri Lanka,7.873054,80.77179699999998,22,22,22,22,21,21,22,20,19,19,21,20,18,17,17,20,21,22,22,22,22,23,22,22,21,19,19,18,19,19,19,19,19,20,21,21,20,19,18,18,19,20,22,21,21,20,20,19,17,18,20,23,22,22,22,21,21,20,20,19,20,20,19,18,19,21,21,21,20,20,20,20,20,20,21,22,22,22,21,20,19,19,19,20,19,18,19,20,21,21,20,18,18,19,22,22,22,21,21,20,20,21,22,22,23,22,22,22,23,22,22,23,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,24,24,23,24,23,23,24,24,24,24,23,23,23,23,23,24,24,23,23,23,22,22,22,22,20,21,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,22,22,22,22,22,22,22,21,21,21,22,22,22,21,21,22,21,22,21,21,22,22,22,21,22,22,21,21,21,21,22,22,21,22,22,22,21,21,21,21,22,22,21,21,21,21
,Sudan,12.8628,30.2176,0,-1,-6,-5,-6,-10,-7,-10,-9,-8,-10,-13,-4,-7,0,-2,-1,-2,0,-9,-11,-9,-13,-13,-11,-7,-4,-9,-8,-9,-3,-6,-8,-8,-12,-12,-11,-7,-5,-8,-10,-11,-11,-11,-6,-4,3,0,-1,0,-2,-8,-9,-9,-6,-6,-10,-7,-4,-11,-12,-11,-12,-14,-11,-4,-6,-8,-11,-11,-4,7,5,-1,-4,-9,-8,-7,-9,-17,-18,-11,-12,-12,-7,-7,-5,-3,-4,-8,-9,-5,-3,-3,-12,-15,-8,-1,0,3,1,-6,-8,-13,-11,-17,-14,-6,-3,-5,-5,-9,-13,-12,-9,-6,-1,-2,2,-4,-11,-10,-4,11,8,-4,-2,-8,-14,-11,-8,-5,-1,-2,5,17,18,19,18,18,19,18,20,17,17,9,-1,-2,-3,-2,-5,-7,-3,6,12,9,9,4,10,19,19,19,19,17,17,18,19,19,19,19,10,14,16,17,18,19,18,18,18,17,18,18,18,19,18,17,19,19,19,18,18,18,19,18,18,19,19,18,19,19,19,17,18,19,18,19,19,19,20,21,20,20,20,20,20,19,20,20,20,21,21,20,20,21
,Suriname,3.9193,-56.0278,21,20,19,20,20,20,20,20,22,21,21,20,21,21,22,22,22,22,22,21,22,21,19,18,19,21,22,22,22,22,22,23,20,18,20,21,21,19,19,18,19,20,23,21,21,20,20,22,21,21,20,20,20,21,23,23,22,19,18,18,20,20,20,19,21,21,19,19,19,19,19,19,19,20,20,21,20,22,21,20,21,20,20,21,22,20,21,22,22,23,23,22,22,23,22,23,22,24,24,24,23,23,22,21,21,20,20,21,22,22,22,22,22,22,22,19,22,22,22,21,22,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,23,23,23,23,23,22,23,23,23,22,22,22,23,22,23,22,22,23,23,23,23,22,22,23,22,22,22,23,23,22,23,23,22,22,23,23,23,23,23,22,22,22,22,23,22,22,22,22,20,22,22,21,21,22,22,20,22,22,21,21,20,21,21,22,22,21,21,21,22,22,20,21,22,22,21,22,22,22,22,22,23,22,22,22
,Sweden,60.128161,18.643501,-4,0,-2,-9,-7,0,2,1,-4,-5,-7,1,-2,0,2,1,0,1,-1,-3,0,-7,-6,0,-5,1,0,1,1,0,-1,1,-1,-5,-8,-8,-8,-6,-1,0,2,-1,0,-5,-5,-1,3,0,0,-2,-4,0,1,-4,-9,-6,-10,-11,-13,-3,0,0,0,0,-2,-3,-2,0,1,1,1,0,-10,-18,-6,-4,-1,1,-5,-7,-9,-12,-8,-8,-10,-4,-6,-6,-14,-12,-12,-5,-2,-7,-13,-6,-1,1,-1,-3,-4,-4,3,-5,0,-4,-6,-4,0,0,1,1,0,0,0,-3,-4,-2,-3,-2,3,6,5,2,0,0,-1,0,-1,3,-4,-2,0,-1,-1,1,0,1,0,-1,-3,0,1,6,6,5,6,2,3,5,5,7,4,5,7,9,10,7,8,8,6,7,9,7,6,7,12,12,13,13,14,11,10,11,13,14,12,14,15,15,11,10,12,8,10,12,10,9,7,8,9,10,10,9,11,12,12,13,14,14,15,11,7,5,6,10,11,14,13,12,12,13,12,13,13,11,10,15,15,14,13,11,11,12
,Switzerland,46.8182,8.2275,-6,-6,-3,-2,-7,-5,-5,-7,-3,-4,-5,-8,-8,-7,-4,-4,-5,-6,-10,-14,-8,-8,-8,-6,-4,-4,-4,-4,-4,-4,1,0,1,1,-5,-8,-9,-7,-6,-5,-1,-4,-7,-6,-3,-4,-2,-1,-4,-6,-4,-3,-2,0,0,-3,-7,-7,-7,-3,-2,-4,-7,-7,-3,-5,-6,-6,-4,-2,2,0,-1,-4,-4,-2,0,0,0,0,0,-1,-8,-12,-11,-9,-3,-1,-2,-6,-8,-8,-4,-2,-2,-1,-3,-2,-2,0,0,0,0,-3,-4,-2,1,3,4,4,3,0,0,0,4,4,3,3,1,1,1,2,2,3,6,4,2,5,7,5,4,1,4,4,3,4,4,4,5,5,3,2,5,1,2,0,0,0,1,2,1,1,3,4,6,4,6,5,3,4,5,6,4,5,7,7,7,7,6,6,5,6,8,9,10,10,11,11,11,11,9,12,11,9,8,10,11,4,5,6,9,10,7,8,7,8,9,9,7,6,7,10,12,12,10,9,10,10,11,14,13,13,13,12,9,6,6,8,8,10,11,12,13,12
,Syria,34.802075,38.99681500000001,3,3,3,3,3,4,1,3,4,2,0,2,1,-7,-3,1,3,3,4,4,3,0,0,0,-2,-1,2,2,3,4,2,-2,-2,0,2,2,2,4,1,-18,-20,-21,-4,1,-2,-4,0,4,4,7,5,4,6,5,6,4,1,4,5,6,4,4,5,5,2,3,7,6,4,4,4,3,8,10,9,8,7,4,3,1,2,1,0,0,6,7,6,8,3,2,6,7,6,5,3,1,5,5,6,6,5,6,3,2,1,2,7,6,5,5,5,4,-1,8,10,8,2,4,4,4,8,7,3,7,8,8,6,5,8,5,3,1,0,0,1,1,3,0,2,0,0,0,9,9,3,2,1,6,3,2,2,-1,2,5,5,3,0,-2,2,5,0,1,0,2,0,4,3,6,3,9,12,10,4,3,3,7,5,6,7,8,7,8,9,2,4,3,6,8,11,8,10,11,11,8,10,4,6,4,2,5,6,2,10,6,10,4,8,6,8,8,7,7,9,9,10,13,13,10,8,5,13,14,15,13
