Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020
"Sacramento County, CA",US,38.4747,-121.3542,13,14,16,15,13,14,12,9,9,11,12,14,11,13,13,10,9,10,11,8,12,14,15,13,17,14,17,17,15,17,17,19,19,14,12,13,15,16,18,17,18,22,21,19,17,18,18,19,21,18,19,20,22,22,17,23,23,24,24,23,19,15,22,24,25,22,17,13,15,19
,Iraq,33,44,18,18,20,17,17,19,19,18,16,16,16,17,17,16,16,18,22,18,16,18,16,11,13,15,12,14,16,17,18,19,21,15,15,16,18,21,24,23,19,13,7,7,11,19,18,19,20,20,23,23,19,21,25,23,25,19,16,21,23,25,20,20,22,23,25,27,22,26,28,29
,Oman,21,57,28,28,28,27,27,27,27,27,27,27,27,22,24,23,22,24,25,27,26,27,28,28,27,27,29,26,23,24,25,26,27,28,27,29,27,28,28,29,29,29,29,29,29,27,27,29,29,31,30,31,32,31,31,32,33,34,33,33,31,31,31,31,33,31,30,30,30,31,31,31
,Afghanistan,33,65,8,4,7,7,4,6,6,6,8,6,4,2,1,1,3,3,2,5,6,5,4,6,7,5,6,6,7,6,6,7,6,7,9,5,6,8,8,9,10,11,4,7,7,7,10,11,11,12,12,9,11,11,13,12,13,13,15,12,11,14,16,17,12,14,11,14,13,11,9,8
,Bahrain,26.0275,50.55,21,22,24,26,18,19,20,20,20,19,17,17,18,18,19,19,20,21,21,21,21,22,15,17,18,15,16,18,17,19,18,19,18,18,18,19,21,23,24,20,19,16,13,16,19,20,20,23,22,23,22,21,21,23,25,27,21,21,21,21,24,21,21,21,22,22,24,24,22,23
,Kuwait,29.5,47.75,19,19,21,22,19,20,20,20,20,19,17,18,19,15,20,20,22,23,22,21,20,20,17,17,15,18,19,20,21,21,20,20,18,19,19,20,22,24,25,20,15,12,13,19,21,24,23,24,22,27,23,23,24,24,25,26,21,23,25,25,28,23,23,24,26,26,27,25,29,28
,Algeria,28.0339,1.6596,16,17,18,20,20,18,17,19,18,17,17,16,17,17,17,17,19,21,22,22,24,25,25,25,24,27,23,21,21,24,25,26,24,24,26,27,22,22,24,24,27,28,26,26,27,26,27,27,25,25,25,27,26,24,25,26,27,27,28,29,30,30,29,29,31,32,24,22,23,25
,Croatia,45.1,15.2,3,6,8,6,0,0,4,3,7,7,4,2,5,5,6,6,4,1,0,-1,2,7,2,8,6,6,6,6,6,6,8,9,10,10,9,1,3,4,7,6,7,10,8,9,9,7,10,9,5,7,7,9,8,10,8,8,5,5,6,7,7,10,9,4,9,7,6,6,7,9
,Switzerland,46.8182,8.2275,4,3,4,2,2,4,2,6,8,3,2,4,4,5,7,6,4,-2,-3,0,4,6,5,6,4,4,5,2,0,5,6,5,5,5,-1,-2,2,4,4,4,5,0,1,2,3,7,7,6,1,0,6,3,9,8,11,5,-4,1,1,3,4,3,0,1,3,0,0,5,0,2
,Austria,47.5162,14.5501,2,6,6,2,-1,2,2,3,8,5,0,4,5,6,7,7,5,1,0,1,8,6,5,7,5,5,6,5,1,5,6,9,7,3,3,-2,1,2,5,6,5,3,3,5,1,6,8,10,5,4,4,3,10,9,5,12,0,3,0,4,6,6,3,3,4,5,3,6,5,6
,Israel,31,35,14,14,13,11,13,15,15,12,11,10,13,14,14,15,18,20,15,13,13,13,8,10,12,9,12,14,15,15,13,16,14,13,15,16,15,17,20,11,11,9,9,12,17,19,19,20,15,17,18,13,13,17,15,16,15,13,17,20,22,16,15,16,21,24,25,14,17,23,25,21
,Pakistan,30.3753,69.3451,12,12,13,14,8,7,11,11,12,11,12,8,8,8,9,10,11,10,11,11,12,13,15,15,17,16,13,12,11,12,12,14,14,14,13,12,16,16,17,16,17,18,18,17,21,23,23,22,24,18,18,19,20,21,22,24,26,25,22,20,20,23,20,17,11,13,16,19,19,17
,Brazil,-14.235,-51.9253,31,33,30,30,26,25,29,30,31,29,33,32,32,31,33,34,35,34,34,35,33,32,27,26,27,28,30,27,28,30,29,34,33,32,33,29,31,30,26,27,25,26,33,32,32,34,28,33,33,32,31,30,30,31,33,29,31,31,32,31,25,30,29,30,31,30,27,30,31,28
,Georgia,42.3154,43.3569,5,4,7,7,8,9,9,10,4,4,4,4,4,7,7,8,7,7,6,7,5,3,3,1,3,6,8,9,9,10,7,4,4,6,3,7,12,4,1,0,1,3,5,4,3,5,7,6,8,11,10,12,13,7,12,5,9,14,15,13,6,11,15,18,19,18,17,19,20,19
,Greece,39.0742,21.8243,8,4,7,12,3,2,3,3,6,10,11,7,8,10,8,10,7,7,6,5,7,11,12,10,11,13,7,10,11,11,11,14,12,13,13,5,3,6,7,10,9,12,14,13,8,6,7,12,15,13,9,8,6,12,18,17,13,7,8,12,12,15,16,11,11,12,16,11,10,12
,North Macedonia,41.6086,21.7453,6,5,6,8,5,4,4,4,4,7,9,3,8,6,5,7,5,5,5,4,3,7,7,6,10,9,9,12,8,11,12,15,16,17,18,5,2,5,6,6,9,14,12,13,11,11,13,13,17,15,7,12,10,14,16,18,20,12,13,12,17,22,20,13,12,15,12,11,11,11
,Norway,60.472,8.4689,0,3,0,-3,2,4,1,2,-3,-7,4,0,-1,1,1,2,4,0,-3,6,2,-3,3,0,2,2,2,-4,0,-5,0,3,-2,-7,-4,3,4,2,2,2,0,0,0,-3,-2,0,3,4,1,0,3,4,1,0,0,-3,-5,-4,0,-3,-2,3,0,0,0,0,0,3,4,1
,Romania,45.9432,24.9668,0,1,0,1,-2,-2,-2,-2,-1,3,2,2,2,0,0,2,3,4,-1,-1,0,0,0,1,6,7,7,6,2,1,7,10,9,7,6,2,0,0,-2,3,7,5,4,4,8,4,8,11,11,7,5,6,5,9,8,14,16,3,7,5,13,13,18,16,4,12,15,8,8,9
,Denmark,56.2639,9.5018,5,5,8,5,6,7,7,9,9,6,7,8,6,8,9,7,7,7,6,7,8,7,8,7,7,6,7,6,7,8,7,8,5,7,4,5,8,6,6,10,7,6,6,5,5,8,11,6,6,6,7,6,8,5,5,5,2,5,6,8,6,8,6,7,6,4,6,8,10,8
,Estonia,58.5953,25.0136,2,4,5,2,0,3,4,6,4,3,0,6,3,3,7,6,4,4,5,3,6,3,2,5,3,5,5,2,3,2,2,4,5,2,0,1,-1,0,1,3,5,4,5,4,3,2,5,7,6,4,3,3,4,5,4,2,1,0,0,2,3,4,2,5,4,5,4,5,6,4
,Netherlands,52.1326,5.2913,2,4,9,7,7,5,8,11,12,7,7,10,8,10,11,9,10,7,8,7,5,6,7,4,3,8,9,5,6,9,11,11,10,10,6,8,9,8,10,11,8,5,7,8,8,12,15,9,9,7,10,9,12,11,10,8,6,3,7,10,9,7,8,10,7,8,10,9,9,12
,San Marino,43.9424,12.4578,9,9,9,10,8,7,5,7,9,10,8,8,7,8,8,8,9,6,5,4,6,9,8,8,7,7,10,13,11,12,11,13,13,13,14,9,8,11,9,11,15,16,14,13,12,13,13,15,10,11,10,12,13,14,15,15,13,10,11,14,12,13,11,5,11,12,8,9,10,12
,Belarus,53.7098,27.9534,0,1,2,3,1,0,0,0,2,2,5,2,3,3,4,4,2,0,1,1,3,4,1,2,5,3,1,2,1,2,1,4,7,2,1,0,3,-2,1,1,3,3,2,3,4,4,4,10,9,6,6,5,6,5,5,5,7,4,3,4,5,7,9,10,7,5,7,9,8,8
,Iceland,64.9631,-19.0208,-1,-9,-14,1,-1,-1,-3,-6,-7,1,-1,-12,-6,-2,-3,-2,-6,-8,2,-2,-2,3,-6,-6,-3,-3,-3,-8,-7,-3,-4,-10,-9,-6,0,2,3,2,-3,-7,-2,-6,-11,-12,0,-3,-3,-2,-3,-3,-2,-3,-6,-5,-3,-6,-8,-10,-3,-2,-2,-3,-4,-5,-8,-9,-8,-8,-9,-3
,Lithuania,55.1694,23.8813,4,5,2,4,2,1,2,3,4,6,4,3,5,5,6,7,4,3,3,4,6,5,3,5,5,3,2,4,3,5,4,9,6,4,2,1,4,1,3,4,7,3,4,5,4,4,7,9,7,6,6,4,4,6,6,4,6,3,4,5,9,9,7,8,8,8,6,7,9,8
,Mexico,23.6345,-102.5528,19,18,14,15,14,18,21,19,23,23,22,20,22,24,24,24,22,22,20,18,19,23,20,21,22,15,18,21,18,22,19,17,15,18,15,18,18,21,25,25,24,24,25,22,24,25,26,27,28,29,29,28,22,27,26,27,24,18,22,23,29,28,28,25,24,21,20,25,23,24
,New Zealand,-40.9006,174.886,18,18,19,17,16,18,17,17,18,18,17,18,17,18,19,20,20,20,21,21,19,18,19,20,20,20,19,20,20,20,20,19,19,20,22,18,19,20,19,18,19,18,19,18,22,21,22,19,19,19,20,22,20,18,19,21,20,20,20,19,22,20,21,19,18,19,19,20,19,19
,Nigeria,9.082,8.6753,35,32,32,32,33,34,35,36,37,36,35,35,37,37,37,36,36,35,35,36,36,36,36,35,34,36,36,37,36,37,37,36,36,36,34,34,35,37,38,37,36,36,35,36,37,37,37,36,35,37,38,38,39,39,39,37,37,38,37,39,36,35,37,38,39,39,37,38,39,38
Western Australia,Australia,-31.9505,115.8605,28,24,21,25,32,30,29,27,26,31,33,30,33,33,33,31,27,30,29,28,24,24,27,29,31,32,35,32,27,22,23,26,33,36,39,33,28,27,27,26,31,32,31,33,36,26,25,30,32,34,32,30,29,30,31,32,29,29,29,26,28,29,31,32,30,25,25,29,32,32
,Ireland,53.1424,-7.6921,7,11,8,8,10,9,13,8,4,8,12,7,8,6,8,10,6,6,6,6,8,9,7,8,9,7,6,6,9,11,12,9,10,8,9,9,9,9,8,11,5,5,7,8,10,10,7,7,7,9,6,10,7,8,11,5,7,8,11,5,6,7,8,8,8,9,11,8,11,10
,Luxembourg,49.8153,6.1296,1,2,7,5,5,2,5,8,11,8,5,4,6,8,12,10,8,5,5,4,3,4,4,4,4,5,6,5,6,7,10,11,12,9,5,8,6,6,6,12,7,4,5,6,8,11,14,8,7,5,7,7,8,11,10,7,4,2,4,10,8,6,5,6,7,6,8,10,8,11
,Monaco,43.7333,7.4167,13,13,13,14,15,13,13,15,13,13,15,14,12,13,14,13,12,13,13,12,15,16,15,14,13,13,13,16,16,13,14,15,14,16,18,15,13,13,13,14,20,20,15,14,16,15,13,14,15,15,14,15,14,14,14,16,14,13,15,14,15,14,14,15,12,13,16,15,14,15
,Qatar,25.3548,51.1839,24,25,29,31,22,21,22,23,22,21,18,18,20,20,22,21,23,25,26,24,24,25,17,19,23,16,18,21,21,23,23,26,22,21,21,25,27,29,31,27,21,18,15,19,23,26,26,28,31,31,31,25,28,30,32,33,25,24,25,27,31,27,24,24,26,28,30,29,26,29
"Snohomish County, WA",US,48.033,-121.8339,8,8,4,13,6,5,8,9,4,4,4,5,4,2,-1,1,5,5,5,8,10,8,6,10,9,9,10,10,8,8,9,13,9,5,5,2,6,5,9,7,6,7,5,8,5,7,5,5,6,9,11,13,12,7,6,6,9,9,13,9,7,7,6,8,9,10,6,7,7,10
,Ecuador,-1.8312,-78.1834,21,22,22,21,24,24,24,24,23,24,19,21,19,23,22,22,20,21,19,19,22,25,24,23,20,21,21,25,25,23,22,23,23,21,21,22,25,24,22,23,21,22,23,22,23,23,21,20,22,22,22,23,24,21,21,21,21,22,20,20,21,22,20,21,21,21,20,22,23,22
,Azerbaijan,40.1431,47.5769,13,11,6,8,10,10,10,10,9,9,8,10,11,11,8,9,8,9,4,7,8,11,13,9,8,14,11,11,13,17,17,5,12,15,18,14,22,24,14,5,5,5,10,12,13,10,11,9,12,14,12,16,11,18,15,17,13,16,22,18,18,10,17,18,20,19,18,18,18,18
,Czech Republic,49.8175,15.473,2,4,4,3,1,2,2,4,5,7,3,5,4,3,3,6,3,2,1,1,0,0,2,0,2,2,5,6,4,6,11,13,9,8,4,1,2,4,4,7,9,6,5,6,7,8,10,12,7,6,6,5,12,12,8,9,5,6,4,4,10,11,7,7,9,9,4,9,8,8
,Armenia,40.0691,45.0382,-2,-4,-5,-3,-4,-3,-2,-2,-4,-4,-5,-2,-5,-2,-1,-5,-5,-4,-4,-4,-4,-5,-4,-10,-7,-4,-3,-2,-2,-3,-1,-6,-5,-3,-4,-2,0,-1,-4,-14,-13,-12,-9,-7,-9,-4,-2,-5,-1,0,0,0,0,0,0,-1,-2,3,2,2,0,0,1,4,5,5,4,4,5,5
,Dominican Republic,18.7357,-70.1627,25,26,24,25,26,25,26,25,26,25,23,25,23,23,21,23,24,24,23,22,25,25,26,23,23,24,23,25,25,25,25,26,26,27,23,24,25,25,26,27,26,25,23,23,24,26,25,24,23,22,22,25,25,25,24,23,25,25,26,26,27,25,22,23,25,26,26,26,21,20
,Indonesia,-0.7893,113.9213,32,31,28,32,29,32,32,32,31,30,28,30,34,33,29,30,32,32,30,30,32,34,33,31,31,32,34,30,34,26,31,33,32,29,31,29,31,29,32,27,29,34,35,33,33,31,31,29,28,33,32,32,34,35,32,32,30,32,28,31,31,32,29,31,29,29,33,30,32,34
,Portugal,39.3999,-8.2245,14,13,15,15,14,15,15,14,17,15,15,14,13,13,16,17,15,16,14,11,14,12,11,13,13,14,13,16,16,15,16,17,21,21,21,19,17,17,14,16,19,18,16,17,18,18,18,16,17,19,18,21,23,24,23,18,16,19,21,17,16,14,18,19,16,16,19,17,20,24
,Andorra,42.5063,1.5218,13,14,11,10,13,13,13,13,11,6,10,11,10,11,11,9,6,8,2,5,8,6,7,8,7,7,8,10,11,12,13,13,16,16,10,11,11,12,11,11,17,14,11,13,15,16,16,14,12,14,16,16,18,20,20,14,8,12,15,13,10,6,5,11,10,4,6,14,7,16
Tasmania,Australia,-41.4545,145.9707,15,19,21,18,17,20,19,22,20,16,9,21,18,22,21,15,17,17,17,15,19,17,8,13,14,14,16,14,20,28,27,19,11,9,15,20,18,22,20,18,16,18,22,21,16,19,18,17,14,17,14,12,16,19,18,21,8,10,13,18,14,10,18,13,13,16,15,14,15,15
,Latvia,56.8796,24.6032,2,4,4,3,1,2,2,4,3,3,0,5,5,3,6,7,4,3,5,3,7,4,3,6,5,5,4,1,4,3,3,6,6,3,1,1,2,0,2,4,6,4,5,4,3,3,6,9,6,5,5,4,4,5,4,2,4,3,0,3,7,6,6,7,6,9,4,7,9,6
,Morocco,31.7917,-7.0926,20,19,19,18,17,17,18,18,18,19,14,18,18,17,18,19,20,22,16,10,14,14,17,18,16,16,19,21,22,23,23,23,26,26,26,27,26,21,21,22,24,25,23,22,25,24,26,26,24,20,22,25,26,27,27,24,24,26,29,22,23,23,27,30,24,22,24,27,26,28
,Saudi Arabia,24,45,24,27,29,26,18,18,20,22,21,18,14,14,19,17,17,20,22,26,24,21,23,22,15,19,17,14,17,20,23,20,24,22,21,20,23,23,26,29,28,26,21,16,16,20,24,25,27,29,31,32,24,23,28,30,32,32,23,25,29,30,31,25,25,27,29,29,31,26,25,27
,Senegal,14.4974,-14.4524,33,34,32,32,32,31,31,31,33,34,34,35,34,33,33,35,34,35,36,37,36,36,36,38,38,37,39,39,39,39,39,40,39,38,38,38,38,38,37,37,37,38,39,39,39,39,40,40,40,40,39,40,40,38,41,41,40,40,40,40,40,40,41,42,42,42,41,41,41,41
"Grafton County, NH",US,43.9088,-71.826,1,-1,2,3,1,-4,-4,-1,-1,-7,1,11,10,-3,0,1,0,-12,-7,-2,-8,-7,0,2,3,1,1,1,-1,-4,-1,0,0,-1,2,2,-4,-2,0,-9,-3,1,0,0,0,-13,-5,0,-3,-2,-3,-8,-4,0,5,8,6,3,1,-3,-6,-5,2,8,2,3,2,0,5,13
"Hillsborough, FL",US,27.9904,-82.3018,19,22,28,29,25,18,20,22,19,25,27,29,29,28,28,28,27,26,26,24,17,13,15,22,24,21,20,21,21,22,19,22,18,17,23,25,27,29,17,21,25,29,29,29,29,25,26,28,28,30,28,27,12,21,24,26,28,27,15,17,18,23,26,28,30,30,23,20,23,25
"Placer County, CA",US,39.0916,-120.8039,13,10,14,15,11,8,12,13,5,4,9,4,4,4,2,6,4,4,10,13,12,6,10,12,12,14,7,11,8,14,15,17,18,6,5,9,13,15,17,13,10,17,18,16,14,15,14,14,17,14,14,16,18,16,14,18,20,19,20,18,14,7,15,21,20,19,16,4,6,12
"San Mateo, CA",US,37.563,-122.3255,16,15,15,15,14,14,14,13,13,12,14,14,12,13,12,11,10,12,11,12,13,14,15,14,17,16,15,14,14,15,16,18,17,12,13,13,15,17,17,14,16,20,21,18,12,14,16,14,20,18,16,18,20,14,14,18,21,21,22,20,13,14,21,21,22,15,14,12,14,18
"Sonoma County, CA",US,38.578,-122.9888,17,15,17,15,13,11,14,12,8,11,12,9,8,9,8,7,7,8,11,11,11,10,14,13,12,13,14,13,13,15,19,19,19,8,10,12,17,19,18,14,15,23,23,20,11,16,17,16,20,17,16,16,20,18,17,20,23,22,22,20,14,12,20,25,23,12,10,9,10,15
"Umatilla, OR",US,45.775,-118.7606,10,10,7,14,8,7,11,12,6,4,6,5,6,2,-1,2,2,2,4,5,5,6,6,11,10,12,9,11,10,9,8,17,13,4,3,3,7,10,12,7,7,8,12,9,12,9,7,8,7,6,7,9,11,14,13,8,11,13,16,19,9,8,11,15,12,17,14,8,9,11
"Fulton County, GA",US,33.8034,-84.3963,12,13,9,15,13,12,16,14,16,17,18,21,20,18,18,21,17,12,10,8,3,4,10,9,13,7,10,11,14,11,14,6,9,18,24,20,20,21,5,6,13,11,21,22,18,11,13,8,12,16,11,6,9,14,13,8,19,13,9,11,13,18,12,21,13,11,14,15,17,20
"Washington County, OR",US,45.547,-123.1386,10,13,9,12,8,9,11,13,9,5,8,10,7,7,6,6,7,5,9,11,9,10,10,13,11,13,12,10,12,11,10,15,14,6,7,5,10,12,12,8,8,10,8,9,6,8,7,8,9,10,12,12,13,12,12,9,12,13,16,12,8,9,9,13,12,13,10,7,10,12
,Argentina,-38.4161,-63.6167,29,29,32,35,31,31,26,32,30,29,28,34,34,27,37,24,27,32,36,39,35,34,37,38,33,32,30,31,34,28,34,35,39,34,35,26,29,26,29,27,27,30,32,35,26,31,35,34,26,30,25,24,24,29,33,27,27,33,35,34,35,39,37,37,36,34,35,34,30,30
,Chile,-35.6751,-71.543,35,33,33,34,32,25,28,29,24,27,31,34,34,33,31,28,34,36,37,35,35,36,32,31,35,34,34,34,31,31,34,35,32,34,31,28,28,29,32,34,35,35,34,30,28,31,32,31,25,33,33,35,31,30,29,25,31,33,34,33,35,31,31,33,33,34,34,31,32,33
,Jordan,31.24,36.51,13,13,12,11,13,16,14,10,9,8,12,14,14,14,17,17,15,12,12,13,8,10,11,7,9,13,16,15,14,16,12,12,15,18,15,18,19,15,9,7,6,9,17,19,17,21,16,15,17,14,14,18,15,17,16,12,15,20,21,17,13,16,20,24,25,17,16,22,25,24
"Norfolk County, MA",US,42.1767,-71.1449,5,5,8,9,7,3,2,5,5,0,10,19,22,6,5,10,7,-4,-4,7,0,-2,3,8,8,7,9,7,4,4,1,7,5,5,8,8,4,4,12,2,1,7,6,6,3,0,-1,6,7,4,6,1,0,8,12,16,13,8,10,4,2,1,12,18,11,11,9,7,12,23
"Maricopa County, AZ",US,33.2918,-112.4291,16,17,17,18,20,20,21,22,20,16,18,17,18,20,21,21,19,19,20,24,25,14,18,20,22,23,22,23,21,20,21,23,25,25,17,12,13,16,20,23,23,19,15,17,19,22,23,24,25,25,26,26,26,19,17,21,21,19,25,26,26,24,18,24,22,28,30,27,23,25
"Wake County, NC",US,35.8032,-78.5661,15,13,14,16,18,11,15,11,15,11,19,22,21,20,20,20,19,8,10,12,4,4,7,9,17,14,12,13,12,11,11,8,7,16,23,21,18,22,15,8,13,18,23,13,20,12,7,14,16,17,11,7,2,11,17,12,18,19,10,12,8,14,20,18,17,13,14,13,17,21
"Wetchester County, NY",US,41.122,-73.7949,6,4,9,8,8,4,7,5,4,1,8,18,18,7,6,10,8,-1,-1,5,0,0,3,6,9,7,7,6,5,4,2,6,5,6,12,12,5,4,10,4,5,6,7,8,5,-1,-1,7,10,5,7,2,1,9,13,16,11,8,6,4,1,5,14,14,13,11,8,8,15,22
,Ukraine,48.3794,31.1656,2,1,2,4,3,0,0,0,0,1,5,3,5,5,5,4,4,2,1,0,3,5,2,3,6,4,4,5,5,4,5,7,10,5,5,2,0,-3,-2,0,4,7,4,4,7,7,7,8,9,9,8,6,6,9,6,8,13,10,7,7,9,8,15,18,16,17,14,12,18,14
,Saint Barthelemy,17.9,-62.8333,27,27,27,27,26,27,27,27,27,27,27,27,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,27,27,26,27,27,27,27,27,26,27,27,27,27,26,26,26,26,26,27,26,26,26,26,26,26,26,26,27,26,27,26,26,26,26,27,26,27,26,27,26,26,27,27
"Orange County, CA",US,33.7879,-117.8531,22,19,18,22,21,20,26,25,16,16,18,17,17,17,17,18,15,16,21,23,17,15,17,23,21,20,14,22,23,24,23,27,29,20,17,16,16,18,20,20,13,22,22,19,20,20,20,20,20,21,20,26,24,16,18,21,28,27,28,30,21,15,21,26,21,26,21,18,18,23
,Hungary,47.1625,19.5033,4,3,1,5,4,2,1,0,2,2,6,3,2,3,3,3,1,1,1,3,3,1,5,2,1,2,5,7,5,6,11,15,13,11,9,8,5,9,5,8,13,9,9,10,10,9,12,14,12,11,10,8,11,14,11,17,8,9,7,10,13,14,14,7,10,7,11,11,12,14
Northern Territory,Australia,-12.4634,130.8456,34,34,34,33,33,32,33,34,31,28,28,32,33,34,34,34,33,34,32,31,31,29,31,31,32,33,33,33,33,32,33,33,32,32,32,33,33,34,34,34,34,32,34,34,34,34,33,34,34,34,33,33,34,33,33,33,31,31,32,32,33,33,32,33,33,33,33,30,28,32
,Faroe Islands,61.8926,-6.9118,7,5,1,6,6,7,8,3,4,6,5,3,5,4,5,4,4,4,8,8,5,7,4,3,6,5,3,3,3,3,2,1,2,3,4,6,7,6,4,2,3,2,1,0,5,4,4,4,4,3,4,5,3,3,3,3,2,1,2,3,2,1,3,3,3,3,5,4,2,4
,Gibraltar,36.1408,-5.3536,16,15,16,15,15,15,15,15,15,15,16,15,15,16,16,16,18,17,16,11,14,12,14,14,14,16,16,17,19,19,19,20,17,18,18,16,15,15,17,18,17,21,18,18,17,17,16,20,16,16,16,16,16,17,17,19,17,19,17,18,18,19,17,21,17,17,18,18,23,18
,Liechtenstein,47.14,9.55,3,3,4,1,0,4,1,5,8,3,2,4,4,5,5,5,4,0,-2,0,4,4,6,6,3,4,4,0,-1,3,5,4,2,4,-1,-2,1,4,4,5,3,0,0,4,2,6,8,6,2,-1,4,2,7,7,9,6,-3,0,0,3,4,4,0,1,2,0,0,3,1,0
,Poland,51.9194,19.1451,2,3,4,3,2,2,0,3,6,8,6,4,5,4,8,7,5,5,4,3,5,4,2,2,1,1,5,4,4,5,9,11,7,5,5,3,4,2,6,7,9,5,5,6,5,6,12,12,8,9,6,6,10,6,6,11,6,5,6,7,12,6,11,8,9,6,6,8,11,12
,Tunisia,34,9,16,17,17,16,17,18,17,16,18,17,15,16,16,18,18,18,18,18,17,19,20,19,21,22,22,22,21,20,22,22,23,23,23,24,26,19,19,18,20,22,24,24,23,22,24,22,22,20,22,23,21,21,22,21,24,25,26,23,26,27,29,28,22,26,26,26,20,21,22,20
"Contra Costa County, CA",US,37.8534,-121.9018,13,14,15,13,11,12,12,12,10,7,12,10,8,9,9,8,7,8,9,8,10,11,14,13,16,16,12,13,12,15,15,17,17,10,8,8,15,16,18,13,12,18,19,17,13,14,16,15,18,16,16,16,19,17,14,19,20,21,22,22,13,11,18,21,23,17,13,9,10,15
,Bosnia and Herzegovina,43.9159,17.6791,-1,1,5,2,-6,-6,0,-1,2,4,1,0,2,3,4,4,5,3,-2,-4,2,5,1,4,4,2,4,3,4,1,4,6,7,8,5,-3,-2,0,3,4,4,7,3,6,1,3,8,12,4,4,0,5,4,10,6,10,6,0,0,2,2,5,4,0,6,4,-1,0,3,5
,Slovenia,46.1512,14.9955,3,5,5,7,6,2,3,4,7,8,7,6,6,8,8,8,3,3,6,5,4,8,5,7,8,7,8,10,9,8,11,13,12,14,9,7,8,8,9,10,11,10,10,11,14,11,12,12,9,10,10,13,12,12,10,12,8,8,9,10,9,11,11,9,11,6,11,11,12,12
"Bergen County, NJ",US,40.9263,-74.077,7,4,9,8,10,5,7,7,5,1,9,19,19,7,7,11,9,0,-1,6,0,0,3,7,10,8,7,7,6,5,2,6,6,7,13,14,6,5,10,5,6,7,8,8,5,0,0,7,11,6,8,3,2,10,13,17,11,8,6,5,2,6,16,15,13,12,8,9,16,23
"Harris County, TX",US,29.7752,-95.3103,17,16,18,20,20,23,23,19,19,24,23,15,14,17,25,25,23,21,22,15,16,15,14,16,19,19,23,18,17,12,13,15,20,23,24,25,11,10,22,21,22,25,14,14,14,16,18,22,26,25,15,10,13,17,20,23,23,12,15,23,23,21,26,27,24,23,23,17,22,23
"San Francisco County, CA",US,37.7749,-122.4194,16,13,16,14,13,14,14,12,12,11,13,13,12,12,12,11,10,11,11,11,13,13,14,14,16,16,14,14,14,15,15,18,17,12,12,13,15,18,16,15,16,19,21,17,11,14,15,14,19,18,15,18,20,13,14,18,22,21,22,18,12,15,21,21,21,15,12,12,13,17
,South Africa,-30.5595,22.9375,37,38,37,38,35,36,28,29,30,32,35,36,36,36,38,40,40,34,33,33,34,33,34,34,33,27,28,33,37,37,39,37,36,37,36,36,32,31,32,30,31,33,34,34,36,32,29,28,29,30,31,34,34,29,32,34,32,26,28,29,30,28,31,32,34,35,35,34,32,20
"Clark County, NV",US,36.0796,-115.094,14,13,16,15,15,15,16,16,17,15,13,11,13,14,15,15,16,15,15,18,17,18,16,19,19,20,19,20,18,17,18,18,20,23,9,10,12,17,21,20,15,19,15,18,18,19,20,22,22,16,19,18,21,13,20,22,16,17,22,22,22,19,18,23,23,25,26,24,22,22
"Fort Bend County, TX",US,29.5693,-95.8143,16,16,18,20,21,23,23,20,20,24,24,13,15,18,25,26,23,23,22,15,17,17,15,17,19,19,23,18,19,12,13,14,20,24,23,25,9,11,22,22,23,25,13,13,13,16,21,23,26,26,16,10,13,18,21,22,22,12,15,22,24,22,27,27,24,23,22,19,23,23
"Grant County, WA",US,47.1981,-119.3732,5,12,8,10,9,7,11,11,7,5,2,5,7,-4,-5,-2,1,0,0,4,5,3,4,4,9,6,7,8,7,6,3,13,13,6,5,0,3,4,6,10,7,10,14,11,7,12,10,11,10,9,8,8,9,12,12,11,9,13,14,15,12,11,16,17,13,13,14,11,11,11
"Santa Rosa County, FL",US,30.769,-86.9824,17,18,22,23,17,16,20,18,18,20,22,23,22,23,24,25,24,22,19,12,10,7,11,15,17,15,12,15,19,10,17,13,13,20,22,22,22,22,13,19,22,23,26,24,19,17,19,14,20,24,24,18,13,15,19,21,21,16,12,17,20,20,23,25,21,18,20,18,20,22
